Country Code	20200224	20200225	20200226	20200227	20200228	20200229	20200301	20200302	20200303	20200304	20200305	20200306	20200307	20200308	20200309	20200310	20200311	20200312	20200313	20200314	20200315	20200316	20200317	20200318	20200319	20200320	20200321	20200322	20200323	20200324	20200325	20200326	20200327	20200328	20200329	20200330	20200331	20200401	20200402	20200403	20200404	20200405	20200406	20200407	20200408	20200409	20200410	20200411	20200412	20200413	20200414	20200415	20200416	20200417	20200418	20200419	20200420	20200421	20200422	20200423	20200424	20200425	20200426	20200427	20200428	20200429	20200430	20200501	20200502	20200503	20200504	20200505	20200506	20200507	20200508	20200509	20200510	20200511	20200512	20200513	20200514	20200515	20200516	20200517	20200518	20200519	20200520	20200521	20200522	20200125	20200126	20200127	20200128	20200129	20200130	20200131	20200201	20200202	20200203	20200204	20200205	20200206	20200207	20200208	20200209	20200210	20200211	20200212	20200213	20200214	20200215	20200216	20200217	20200218	20200219	20200220	20200221	20200222	20200223	20200111	20200112	20200113	20200114	20200115	20200116	20200117	20200118	20200119	20200120	20200121	20200122	20200123	20200124
AFG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	4.0	3.0	1.0	0.0	0.0	3.0	3.0	2.0	2.0	4.0	1.0	0.0	3.0	0.0	3.0	4.0	0.0	0.0	7.0	2.0	8.0	3.0	0.0	4.0	0.0	8.0	0.0	0.0	23.0	9.0	1.0	0.0	10.0	4.0	2.0	6.0	3.0	6.0	17.0	15.0	1.0	4.0	4.0	10.0	6.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
AUS	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	5.0	2.0	6.0	5.0	3.0	3.0	5.0	2.0	4.0	3.0	2.0	0.0	0.0	2.0	0.0	4.0	3.0	0.0	1.0	3.0	1.0	1.0	3.0	2.0	2.0	1.0	4.0	2.0	2.0	1.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
BEL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	9.0	0.0	0.0	23.0	30.0	0.0	8.0	13.0	34.0	56.0	42.0	69.0	64.0	78.0	82.0	192.0	123.0	183.0	132.0	140.0	164.0	185.0	403.0	205.0	283.0	496.0	327.0	254.0	303.0	254.0	283.0	417.0	306.0	290.0	230.0	145.0	170.0	264.0	228.0	189.0	238.0	177.0	113.0	124.0	170.0	93.0	109.0	62.0	79.0	80.0	92.0	323.0	76.0	106.0	60.0	75.0	51.0	54.0	82.0	60.0	56.0	46.0	47.0	28.0	28.0	42.0	0.0	null	null	null	null	null	null	null	null	null	null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
KHM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
CAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	4.0	0.0	6.0	6.0	0.0	10.0	0.0	4.0	16.0	6.0	5.0	23.0	16.0	22.0	25.0	62.0	17.0	62.0	52.0	56.0	60.0	70.0	69.0	74.0	60.0	89.0	131.0	94.0	202.0	96.0	160.0	105.0	117.0	143.0	157.0	169.0	153.0	139.0	128.0	149.0	138.0	178.0	141.0	223.0	235.0	85.0	149.0	196.0	169.0	191.0	157.0	100.0	178.0	143.0	160.0	128.0	162.0	96.0	107.0	103.0	52.0	98.0	107.0	null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
CHN	150.0	71.0	52.0	29.0	44.0	47.0	35.0	42.0	31.0	38.0	31.0	30.0	28.0	27.0	23.0	17.0	22.0	11.0	7.0	14.0	10.0	14.0	13.0	11.0	11.0	8.0	6.0	0.0	9.0	7.0	4.0	6.0	5.0	3.0	5.0	4.0	4.0	7.0	6.0	4.0	4.0	3.0	2.0	0.0	2.0	2.0	1.0	4.0	0.0	2.0	0.0	1.0	0.0	1290.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	16.0	15.0	24.0	26.0	26.0	38.0	43.0	46.0	45.0	57.0	64.0	66.0	73.0	73.0	86.0	89.0	97.0	108.0	97.0	254.0	13.0	143.0	142.0	106.0	98.0	136.0	115.0	118.0	109.0	97.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	2.0	3.0	8.0	8.0
EGY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	1.0	1.0	2.0	4.0	5.0	2.0	0.0	3.0	6.0	6.0	4.0	1.0	5.0	6.0	6.0	8.0	5.0	7.0	7.0	9.0	9.0	15.0	17.0	11.0	13.0	5.0	14.0	5.0	13.0	9.0	19.0	15.0	11.0	14.0	12.0	18.0	0.0	13.0	30.0	22.0	21.0	12.0	14.0	0.0	9.0	14.0	23.0	17.0	0.0	13.0	21.0	22.0	8.0	0.0	23.0	15.0	0.0	21.0	20.0	18.0	15.0	35.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
FIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	3.0	2.0	2.0	2.0	4.0	0.0	2.0	1.0	5.0	3.0	0.0	6.0	6.0	2.0	6.0	1.0	7.0	3.0	5.0	8.0	3.0	7.0	8.0	4.0	4.0	43.0	8.0	23.0	5.0	9.0	4.0	3.0	6.0	7.0	5.0	7.0	2.0	10.0	10.0	6.0	6.0	3.0	5.0	5.0	2.0	4.0	4.0	9.0	3.0	6.0	4.0	1.0	2.0	1.0	3.0	0.0	null	null	null	null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
FRA	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	3.0	1.0	9.0	11.0	3.0	15.0	0.0	31.0	12.0	36.0	21.0	27.0	69.0	128.0	78.0	112.0	0.0	112.0	186.0	240.0	231.0	364.0	297.0	319.0	291.0	415.0	497.0	505.0	471.0	2003.0	1053.0	518.0	832.0	1417.0	540.0	1339.0	987.0	635.0	560.0	572.0	762.0	1438.0	753.0	760.0	635.0	395.0	544.0	530.0	544.0	516.0	389.0	368.0	241.0	440.0	366.0	427.0	288.0	218.0	164.0	135.0	306.0	326.0	278.0	177.0	242.0	80.0	70.0	262.0	348.0	81.0	349.0	104.0	96.0	481.0	131.0	-218.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	0.0
